countryname,iso3,incomegroup,y2021GGXWDG_NGDP,y2021NGDPDPC,hdi,un_population2020,pop_total,vaccinesdelivered_archive_lag,vaccinesdelivered,total_donations,informcovid19risk,covid19riskclass,gap_percapita,gap_gghe,uhc,che,h7_vaccinationpolicy,e4_internationalsupport,h5_investmentinvaccines,stringencyindex,economicsupportindex,h7_name,total_vaccinations,persons_vaccinated_1plus_dose,total_vaccinations_per100,persons_vaccinated_1plus_dose_pe,persons_fully_vaccinated,persons_fully_vaccinated_per100,vaccines_used,number_vaccines_types_used,first_vaccine_date,deathscumulativetotal,deathsnewlyreportedinlast7days,vaccine_willingness_monthly,v3_vaccinefinancialsupportsummar,v3_name,population,total_boosters,total_boosters_per_hundred,dec40target,dec40target_name,securedvaccineofpopulation,cost_gdp_income40,pricebracket_che40,utilrate_lag,donationsoftotal,deliveredpopulation,casescumulativetotalper100000pop,casesnewlyreportedinlast7daysper,deathscumulativetotalper100000po,deathsnewlyreportedinlast7dayspe
Aruba,ABW,High Income Economies,117.468,25700.87,,106.766,106766,191611,191845,12285,,,,,,,5,0,0,25.93,0,Universal availability,216974,90449,203.224,84.717,84297,78.955,,2,17feb2021,290,2,60.77510118484497,5,All eligible groups are fully government-funded,106459,,,1,Target reached,,.041523886156383,,113.2367139673609,6.403607078631186,179.6873536519116,41398.9472303917,18.73255530786955,271.6220519641084,1.873255530786955
Afghanistan,AFG,Low Income Economies,,,.511,38928.341,38928341,19156857,20032050,3700000,6.8,Very High,1.05,43.5,37,65.80603027000002,5,152400000,113000000,0,0,Universal availability,19712836,16770724,50.639,43.081,16064707,41.267,,11,22feb2021,7918,3,76.78349912166595,5,All eligible groups are fully government-funded,41128772,1893518,4.6,0,Target not reached,132.8026733398438,,7.889854438411483,102.9022453944298,18.47040118210568,51.45878166243971,570.4686978569162,.9838590347325616,20.33993691125959,.0077064676349809
Angola,AGO,Lower Middle Income Economies,103.713,2200.68,.581,32866.268,32866268,38205851,31798812,1620000,5.6,High,,,39,71.32600402999999,5,0,88000000,17.02,25,Universal availability,25552936,15745756,77.748,47.909,8821410,26.84,,1,10mar2021,1934,0,96.34590148925781,5,All eligible groups are fully government-funded,35588996,2026768,5.69,0,Target not reached,168.4611663818359,.2471963211371031,7.626951872576396,66.88225842685719,5.094529946590458,96.75212287564868,320.6448629944842,0,5.8844527160796,0
Anguilla,AIA,Unclassified Economies,,,,15.002,15002,,,,,,,,,,,,,,,,24611,10854,164.051,72.34999999999999,10380,69.191,,2,05feb2021,12,0,72.13360071182251,,,15877,3309,20.84,1,Target reached,,,,,,,26023.19690707905,0,79.98933475536596,0
Åland Islands,ALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Upper Middle Income Economies,81.47499999999999,5837.18,.795,2877.8,2877800,3272559,3363915,390975,4.2,Medium,1.24,.8,62,,5,0,6900000,11.11,0,Universal availability,3080679,1348396,107,47.379,1277987,44.905,,6,13jan2021,3604,0,87.79129981994629,5,All eligible groups are fully government-funded,2842318,399190,14.04,1,Target reached,119.6663436889648,.1326668014349394,,94.13669852858267,11.62261828851205,116.8918965876711,11609.21537285426,0,125.2345541733268,0
Andorra,AND,High Income Economies,51.562,40417.27,.868,77.265,77265,,172443,0,,,,,77,2744.194335939999,5,473499125,0,11.11,0,Universal availability,157038,57910,203.2,76.02,53496,70.226,,4,20jan2021,159,0,89.50480222702026,5,All eligible groups are fully government-funded,79843,43067,53.94,1,Target reached,219.1030883789063,.0264045542907772,.3888937405136216,,0,223.1838477965443,62143.27315084449,0,205.785284410794,0
United Arab Emirates,ARE,High Income Economies,37.32,43537.69,.89,9890.4,9890400,29246898,27414261,0,2.5,Low,,,78,1842.69445801,5,0,5000000,13.89,0,Universal availability,24922054,9991089,251.982,101.018,9792266,99.008,,11,,2349,0,97.53509759902954,5,All eligible groups are fully government-funded,9441138,5138699,54.43,1,Target reached,274.3872680664063,.0245120951524989,.5791519019124378,85.21264032855723,0,277.1805083717544,10788.54242497776,0,23.75030332443582,0
Argentina,ARG,Upper Middle Income Economies,,9929.15,.845,45195.777,45195777,151826347,150729396,3900000,3.4,Low,,,73,945.9919433599998,5,0,100000000,14.38,0,Universal availability,109652736,41324100,242.617,91.434,37840119,83.72499999999999,,7,29dec2020,130472,0,95.31072378158569,5,All eligible groups are fully government-funded,45510324,36535080,80.28,1,Target reached,332.8873291015625,.0779925774109566,.8186116228955029,72.22246873923667,2.587418316198919,333.5032739895146,22225.43269916567,0,288.6818385708913,0
Armenia,ARM,Upper Middle Income Economies,62.15,4594.91,.776,2963.234,2963234,3168477,2979419,1624340,3.6,Medium,1.04,2,69,523.99908447,,,,,,,2156999,1122040,72.8,37.865,996169,33.618,,10,27jan2021,8750,0,69.268798828125,,,2780472,44890,1.61,0,Target not reached,125.0532302856445,.1685343129680451,1.477865177537989,68.07683944052616,54.51868300497513,100.5461937869233,15159.21456084805,0,295.2854887599157,0
American Samoa,ASM,Upper Middle Income Economies,,,,55.197,55197,,,,,,,,,,,,,,,,114706,46206,207.812,83.711,42479,76.959,,3,21dec2020,34,0,89.58240151405334,,,44295,,,,Not available,,,,,,,15093.21158758628,0,61.59755059151765,0
Antarctica,ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Southern Territories,ATF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,High Income Economies,105.219,14117.84,.778,97.928,97928,269843,254790,156390,3.6,Medium,,,72,760.26495361,,,,,,,136512,64290,139.399,65.65000000000001,62384,63.703,,6,01mar2021,146,0,31.00000023841858,,,93772,9838,10.49,1,Target reached,258.0726928710938,.0755923002385634,1.403721156594904,50.5894168090334,61.37995996703167,260.1809492688506,9298.668409443671,0,149.0891267053345,0
Australia,AUS,High Income Economies,62.06,62618.59,.944,25499.881,25499881,69865441,82380040,0,2.1,Low,,,87,5427.462402339999,5,773231831,4703229757.98,11.11,0,Universal availability,65492360,22231907,256.834,87.184,21648824,84.898,,5,21feb2021,21063,0,92.67370104789734,5,All eligible groups are fully government-funded,26177410,19790466,75.59999999999999,1,Target reached,990.0398559570313,.0170428621915632,.1966296440008294,93.7407093730361,0,323.0604880077676,44784.67566181975,0,82.60038546846552,0
Austria,AUT,High Income Economies,84.202,53793.37,.922,9006.4,9006400,40059904,50314243,0,3,Low,,,82,5242.18310547,5,5227200,1085695,35.19,100,Universal availability,20401515,6899733,229.2,77.625,6682197,75.072,,10,30dec2020,22514,7,80.70352673530579,5,All eligible groups are fully government-funded,8939617,5405557,60.47,1,Target reached,632.304443359375,.0198388760548001,.2035793062791762,50.92751844837172,0,558.6498823059159,67486.12098063598,14.7339669568307,249.9777935690176,.0777225084384438
Azerbaijan,AZE,Upper Middle Income Economies,28.88,5167.38,.756,10139.175,10139175,15110103,15242824,150000,4,Medium,.54,1.3,65,193.10884094,5,10000000,0,34.94,0,Universal availability,13822539,5434010,136.3,53.594,4886266,48.192,,5,20jan2021,10277,4,83.51789712905884,5,All eligible groups are fully government-funded,10358078,3362453,32.46,1,Target reached,149.0982208251953,.1498631801802848,4.010173724985541,91.47878740469207,.9840696185956094,150.3359395611576,8204.434778963772,.3747839444530743,101.3593315037959,.0394509415213762
