date,LIC,LMC,UMC,HIC
01dec2020,,,,
02dec2020,,,,
03dec2020,,,,
04dec2020,,,,
05dec2020,,,,
06dec2020,,,,
07dec2020,,,,
08dec2020,,,,
09dec2020,,,,
10dec2020,,,,
11dec2020,,,,
12dec2020,,,,
13dec2020,,,,0
14dec2020,,,,0
15dec2020,,,,0
16dec2020,,,,0
17dec2020,,,,0
18dec2020,,,,0
19dec2020,,,,0
20dec2020,,,,0
21dec2020,,,,0
22dec2020,,,,0
23dec2020,,,,0
24dec2020,,,,0
25dec2020,,,,0
26dec2020,,,,0
27dec2020,,,,0
28dec2020,,,,0
29dec2020,,,0,0
30dec2020,,,0,0
31dec2020,,,0,0
01jan2021,,,0,0
02jan2021,,,0,0
03jan2021,,,0,.0099999998
04jan2021,,,0,.0099999998
05jan2021,,,0,.02
06jan2021,,,0,.029999999
07jan2021,,,0,.050000001
08jan2021,,,0,.079999998
09jan2021,,,0,.090000004
10jan2021,,,0,.15000001
11jan2021,,,0,.18000001
12jan2021,,,0,.20999999
13jan2021,,,0,.23999999
14jan2021,,,0,.25
15jan2021,,,0,.27000001
16jan2021,,,0,.28
17jan2021,,,0,.28999999
18jan2021,,,0,.31999999
19jan2021,,,0,.37
20jan2021,,,0,.41999999
21jan2021,,,0,.47
22jan2021,,,0,.5
23jan2021,,,0,.52999997
24jan2021,,,0,.55000001
25jan2021,,,0,.62
26jan2021,,,0,.69999999
27jan2021,,,0,.77999997
28jan2021,,0,0,.86000001
29jan2021,,0,.0099999998,.94
30jan2021,,0,.0099999998,.98000002
31jan2021,,0,.0099999998,1.02
01feb2021,,0,.0099999998,1.1
02feb2021,,0,.0099999998,1.1900001
03feb2021,,0,.0099999998,1.3
04feb2021,,0,.0099999998,1.42
05feb2021,,0,.0099999998,1.54
06feb2021,,0,.0099999998,1.59
07feb2021,,0,.0099999998,1.64
08feb2021,,0,.0099999998,1.72
09feb2021,,.0099999998,.02,1.83
10feb2021,,.0099999998,.02,1.95
11feb2021,,.0099999998,.02,2.0899999
12feb2021,,.0099999998,.039999999,2.24
13feb2021,,.0099999998,.050000001,2.3
14feb2021,,.0099999998,.050000001,2.3399999
15feb2021,,.02,.059999999,2.4200001
16feb2021,,.02,.07,2.52
17feb2021,,.029999999,.079999998,2.6400001
